fuente_institucional,anio,titulo,id,url
REPO,2019,Linking inequalities and ecosystem services in Latin America,Repo_ANID_ef31a1fbbf8c4b38e9c414dbd9d49ec5,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_ef31a1fbbf8c4b38e9c414dbd9d49ec5
PUC,2019,Modelación del estrés hídrico en un ecosistema semiárido integrando procesos hidrológicos y de dinámica vegetal a escala local,PUC_c5d503df5e3a281f75f70199772850e6,https://espaciociencia.anid.cl/detalles?id=PUC_c5d503df5e3a281f75f70199772850e6
UCHILE,2019,Modelo de formación universitaria de innovación social para ingeniería y ciencias,UCHILE_137ebc9bf615874c069dd01cd5c55f06,https://espaciociencia.anid.cl/detalles?id=UCHILE_137ebc9bf615874c069dd01cd5c55f06
SCIELO,2019,Optimización de la producción forestal maderable y conservación del ecosistema en bosques comunitarios en el sur de México,SCIELO_4078cb9eb469e46bf1814b16025c3345,https://espaciociencia.anid.cl/detalles?id=SCIELO_4078cb9eb469e46bf1814b16025c3345
UCHILE,2019,Relaciones entre variables ambientales y macroinvertebrados bentónicos en un gradiente de perturbación de hábitat en la cuenca del Río Huasco,UCHILE_2f4afa0045fc47bd1c6b6d2b726f881f,https://espaciociencia.anid.cl/detalles?id=UCHILE_2f4afa0045fc47bd1c6b6d2b726f881f
UDEC,2019,Rol del pingüino de Humboldt (Spheniscus humboldti) en el biotransporte de metales traza y nutrientes desde ecosistemas acuáticos a terrestres.,UDEC_dac3db1883ce8cba57b6f93e0e20cb27,https://espaciociencia.anid.cl/detalles?id=UDEC_dac3db1883ce8cba57b6f93e0e20cb27
REPO,2019,The Role of Streamside Native Forests on Dissolved Organic Matter in Forested and Agricultural Watersheds in Northwestern Patagonia.,Repo_ANID_2112cfc02bad959eb6b7ead82f693e88,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_2112cfc02bad959eb6b7ead82f693e88
REPO,2019,Traits of perch trees promote seed dispersal of endemic fleshy-fruit species in degraded areas of endangered Mediterranean ecosystems,Repo_ANID_c49186239c18ccc08d81353958bffd98,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_c49186239c18ccc08d81353958bffd98
REPO,2019,Un asentamiento costero del norte semiárido chileno. La memoria de su ecosistema,Repo_ANID_0221f747b882c6695365f644ef648780,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_0221f747b882c6695365f644ef648780
UCHILE,2018,Caracterización de la riqueza íctica en ecosistemas lacustres y fluviales de Chile comparando metabarcoding de ADN ambiental (eDNA) con un método tradicional de captura,UCHILE_1f4aa7b59f5d53e09778317dbebb2105,https://espaciociencia.anid.cl/detalles?id=UCHILE_1f4aa7b59f5d53e09778317dbebb2105
UCHILE,2018,Comportamiento de elección de la araña Scytodes globula expuesta a refugios con o sin rastros de Loxoceles laeta (araña de rincón),UCHILE_89baf15c16880d810181533fc9132361,https://espaciociencia.anid.cl/detalles?id=UCHILE_89baf15c16880d810181533fc9132361
UDEC,2018,"Contenido de tántalo, proteínas y lípidos en macroinvertebrados y peces de diferentes ecosistemas marinos costeros.",UDEC_f240fc86f4671ee694417cf37557fac8,https://espaciociencia.anid.cl/detalles?id=UDEC_f240fc86f4671ee694417cf37557fac8
REPO,2018,Discourses of Nature in New Perceptions of the Natural Landscape in Southern Chile,Repo_ANID_dea70caa939d85bba06a8fcf67ea2ccd,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_dea70caa939d85bba06a8fcf67ea2ccd
UDEC,2018,Estudio de elementos traza en ecosistemas acuáticos de la península Antártica,UDEC_9478a5c51d420c7abd392509f8357ffc,https://espaciociencia.anid.cl/detalles?id=UDEC_9478a5c51d420c7abd392509f8357ffc
UCHILE,2018,"Flujos de CO2 y CH4 en suelos de matorrales y bosques esclerófilos en la Reserva Nacional Roblería del Cobre de Loncha, Región Metropolitana",UCHILE_874407c4f3340bbb60bb157e3bca9e1b,https://espaciociencia.anid.cl/detalles?id=UCHILE_874407c4f3340bbb60bb157e3bca9e1b
ANID,2018,Influencia marina sobre el ecosistema costero desde una perspectiva biogeoquimica: caso del Parque Nacional Fray Jorge,ANID_dab01b132f58ad5e7a9f4abc9b00fde1,https://espaciociencia.anid.cl/detalles?id=ANID_dab01b132f58ad5e7a9f4abc9b00fde1
UDEC,2018,Influencia marina sobre el ecosistema costero desde una perspectiva biogeoquímica; caso del Parque Nacional Fray Jorge.,UDEC_8af6ed66aad682e1769a3f26e7103096,https://espaciociencia.anid.cl/detalles?id=UDEC_8af6ed66aad682e1769a3f26e7103096
SCIELO,2018,Islas de fertilidad: una revisión sistemática de su estructura y operación,SCIELO_3e56366e1e1f5cf6b542f9174048b1ce,https://espaciociencia.anid.cl/detalles?id=SCIELO_3e56366e1e1f5cf6b542f9174048b1ce
REPO,2018,Species traits and network structure predict the success and impacts of pollinator invasions,Repo_ANID_5bb185f24fe79be6dc25693d63fdbf74,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_5bb185f24fe79be6dc25693d63fdbf74
SCIELO,2018,Sumergidos con lupa en los ríos del cabo de hornos: Valoración ética de los ecosistemas dulceacuícolas y sus co-habitantes,SCIELO_b38cd07093b17a50ab804d503cc79b32,https://espaciociencia.anid.cl/detalles?id=SCIELO_b38cd07093b17a50ab804d503cc79b32
UCHILE,2017,Desarrollo de un índice de valor ecológico para ecosistemas mediterráneos,UCHILE_91e9574c87f859a7c621a31dbbbfabaf,https://espaciociencia.anid.cl/detalles?id=UCHILE_91e9574c87f859a7c621a31dbbbfabaf
UDEC,2017,Evaluación del éxito ecológico de la restauración de ecosistemas y paisajes forestales en el Centro Sur de Chile.,UDEC_87673173dcf15cc0e9dfa2002f1a2a94,https://espaciociencia.anid.cl/detalles?id=UDEC_87673173dcf15cc0e9dfa2002f1a2a94
SCIELO,2017,"OBSERVATORIO ECOSOCIAL PARA EL SEGUIMIENTO DEL CAMBIO CLIMÁTICO EN ECOSISTEMAS DE ALTURA EN LA REGIÓN DE TARAPACÁ: PROPUESTAS, AVANCES Y PROYECCIONES",SCIELO_f91bb8d7750107d248e0fef048bfb7f1,https://espaciociencia.anid.cl/detalles?id=SCIELO_f91bb8d7750107d248e0fef048bfb7f1
